Website, Current, Pending, Avaialble, Risk, Casino
www.globalsides.com,-2183 ,0 ,7817 ,,10000 
www.globalsides.com,-4273 ,0 ,15727 ,,20000 
www.globalsides.com,0 ,0 ,10000 ,,10000 
www.2espn.com,506 ,0 ,15506 ,,
www.actiononesports.com,-6599.33,3400.00,0.00,,0.00
www.linesforsale.com,-429 ,,46371 ,3200 ,
www.justwagers.com,-6607.89,10200.00,58192.11,,0.00
www.bettropics.com,-3200.00,6600.00,,,0.00
www.2betez.com,-600.00 ,,6100.00 ,300.00 ,
www.explorersports.net, -1634.76, 2500.00, 5865.24,, 0.00
www.ezplay2001.com,1058 ,,20558 ,500 ,
www.justwagers.com,-2325.00,3400.00,4275.00,,0.00
www.visionwager.com,-4632,,1263,3105,
www.zodiacsportsbook.com, -1232.50, 0.00, 23767.50,, 0.00
www.betevo.com,  -1969,,,  500,  0.00
www.betmsg.com,-16591.18,0.00,33408.82,,0.00
www.getitinnow.com,-5000,,35000,0,
www.jazzsports.com,1900 ,,39950 ,11950 ,
www.youwager.com,44534.68  ,,,,
www.2betez.com,2850.00 ,,10850.00 ,2000.00 ,
www.mywagerlive.com,0 ,,10000 ,0 ,
www.readytowager.com,-2625.00,0,7375,,
www.fastwagerlive.com,14959,,54959,0,
www.bellaction.com,350,,12350,0,
www.pinnaclesports.com,8980.19,,,,
www.betbuckeyesports.com,-1939.00,,-2989.00,1050.00,
www.explorersports.net, -1634.76, 2500.00, 5865.24,, 0.00
www.betez.com,-500,,7000,0,
www.wager123.com,-625,,19375,0,
www.betrr.com,-3150.00,0.00,6850.00,,0.00
www.globalsides.com,1090 ,0 ,36090 ,,35000 
www.justbetnow.com,,,,,
www.betez.com,-1100,,3900,0,
